Address;PostalCode;Phone;Country;CityInput;PropertyID;Status;UpdatedDate;SourceSystem;Notes;PostalCode_OK;Phone_OK;Street_extracted;MissingStreet;City_extracted;City_Match;AnyError;ErrorCount
ItalyFlorenceLewis Parks198;52357;-262946464;Italy;Florence;PROP00024;Inactive;17.01.2023;Planon;Imported from legacy system;OK;OK;ItalyFlorenceLewis Parks198;OK;Florence;MATCH;OK;0
Thomas Dam 63, France, Marseille;32826;-969159991;France;Marseille;PROP00025;Active;17.01.2025;MDG;;OK;OK;Thomas Dam 63;OK;Marseille;MATCH;OK;0
Burgess Meadow 171, Australia, Melbourne;76985;-598066174;Australia;Melbourne;PROP00026;Inactive;25.06.2024;ServiceNow;;OK;OK;Burgess Meadow 171;OK;Melbourne;MATCH;OK;0
SydneyCox Dam230, Australia;67285;-438044981;Australia;Sydney;PROP00027;Active;04.02.2024;SAP;;OK;OK;SydneyCox Dam230;OK;Sydney;MATCH;OK;0
LeedsDavis Causeway293, UK;14872;-806505329;UK;Leeds;PROP00028;Inactive;26.07.2025;SAP;Imported from legacy system;OK;OK;LeedsDavis Causeway293;OK;Leeds;MATCH;OK;0
Courtney Turnpike165, Bordeaux, France;89693;-184724229;France;Bordeaux;PROP00029;Active;20.04.2025;Salesforce;Check postal code;OK;OK;Courtney Turnpike165;OK;Bordeaux;MATCH;OK;0
Germany, Cologne;50520;-507576250;Germany;Cologne;PROP00030;Inactive;09.09.2025;MDG;;OK;OK;Cologne;OK;Cologne;MATCH;OK;0
Canada, Ottawa;2005;-132980284;Canada;Ottawa;PROP00031;Inactive;02.10.2023;Salesforce;;OK;OK;Ottawa;OK;Ottawa;MATCH;OK;0
UKBirmingham, UK;98920;-618266349;UK;Birmingham;PROP00032;Active;26.10.2023;ServiceNow;Needs review;OK;OK;UK;OK;Birmingham;MATCH;OK;0
MunichMack Junctions229, Germany;15122;-763069987;Germany;Munich;PROP00033;Active;25.07.2023;Salesforce;Imported from legacy system;OK;OK;MunichMack Junctions229;OK;Munich;MATCH;OK;0
Graham Motorway 9, Rio de Janeiro;926;-377335234;Brazil;Rio de Janeiro;PROP00034;Active;05.01.2025;SAP;Check postal code;OK;OK;Graham Motorway 9;OK;Rio de Janeiro;MATCH;OK;0
UK, Manchester, Stanton Track 112;23917;-366448912;UK;Manchester;PROP00035;Active;12.09.2023;SAP;;OK;OK;Stanton Track 112;OK;Manchester;MATCH;OK;0
Australia, Brisbane, Monica Hills 117;84249;-137243082;Australia;Brisbane;PROP00036;Active;20.10.2023;Salesforce;;OK;OK;Monica Hills 117;OK;Brisbane;MATCH;OK;0
France, Paris, Eric Track 273;21675;-834425617;France;Paris;PROP00037;Inactive;17.12.2024;Planon;;OK;OK;Eric Track 273;OK;Paris;MATCH;OK;0
SydneyCarol Overpass103, Australia;3053;-303640086;Australia;Sydney;PROP00038;Inactive;09.10.2025;SAP;Pending validation;OK;OK;SydneyCarol Overpass103;OK;Sydney;MATCH;OK;0
SapporoSarah Wells54, Japan;40807;-618313062;Japan;Sapporo;PROP00039;Inactive;17.02.2024;ServiceNow;Needs review;OK;OK;SapporoSarah Wells54;OK;Sapporo;MATCH;OK;0
Brian Wells1, Cologne, Germany;74865;-717877677;Germany;Cologne;PROP00040;Active;30.07.2024;Salesforce;;OK;OK;Brian Wells1;OK;Cologne;MATCH;OK;0
Christopher Oval 268, Germany, Hamburg;9572;-674271222;Germany;Hamburg;PROP00041;Inactive;12.04.2023;MDG;Needs review;OK;OK;Christopher Oval 268;OK;Hamburg;MATCH;OK;0
FranceToulouse, France;72564;-495234153;France;Toulouse;PROP00042;Inactive;21.05.2023;MDG;;OK;OK;France;OK;Toulouse;MATCH;OK;0
Joseph Well 117, Salvador;80008;-188042057;Brazil;Salvador;PROP00043;Inactive;21.06.2024;MDG;Verified;OK;OK;Joseph Well 117;OK;Salvador;MATCH;OK;0
Brandt Plains 73, Japan, Osaka;99495;-127164885;Japan;Osaka;PROP00044;Active;25.03.2025;Planon;Imported from legacy system;OK;OK;Brandt Plains 73;OK;Osaka;MATCH;OK;0
JapanOsaka;88540;-410716741;Japan;Osaka;PROP00045;Inactive;27.11.2023;Salesforce;;OK;OK;;MISSING;Osaka;MATCH;ERROR;1
AustraliaAdelaideKim Path237;59678;-122091951;Australia;Adelaide;PROP00046;Active;04.04.2025;SAP;Check postal code;OK;OK;AustraliaAdelaideKim Path237;OK;Adelaide;MATCH;OK;0
John Circles101, Turin, Italy;44814;-387273800;Italy;Turin;PROP00047;Inactive;18.12.2023;Salesforce;;OK;OK;John Circles101;OK;Turin;MATCH;OK;0
Brianna Forks 9, Brazil, Brasília;77629;-899523437;Brazil;Brasília;PROP00048;Inactive;29.11.2022;Salesforce;;OK;OK;Brianna Forks 9;OK;Brasília;MATCH;OK;0
Japan, Osaka, Adrian Station 145;83220;-672353435;Japan;Osaka;PROP00049;Active;08.05.2025;MDG;;OK;OK;Adrian Station 145;OK;Osaka;MATCH;OK;0
Jeremy Bypass 39, Australia, Sydney;43810;-308900854;Australia;Sydney;PROP00050;Inactive;29.10.2025;MDG;Imported from legacy system;OK;OK;Jeremy Bypass 39;OK;Sydney;MATCH;OK;0
GermanyCologneWillie Harbors52;88185;-988550157;Germany;Cologne;PROP00051;Inactive;22.03.2023;ServiceNow;;OK;OK;GermanyCologneWillie Harbors52;OK;Cologne;MATCH;OK;0
ItalyRome, Italy;95312;-682304177;Italy;Rome;PROP00052;Active;27.05.2024;MDG;;OK;OK;Italy;OK;Rome;MATCH;OK;0
Brazil, Salvador, Sanchez Mountains 24;53855;-780711614;Brazil;Salvador;PROP00053;Inactive;08.11.2023;ServiceNow;Imported from legacy system;OK;OK;Sanchez Mountains 24;OK;Salvador;MATCH;OK;0
SpainMadrid;56999;-479803936;Spain;Madrid;PROP00054;Active;23.01.2025;MDG;;OK;OK;;MISSING;Madrid;MATCH;ERROR;1
Henderson Mountain 121, USA, Los Angeles;96062;-334321085;USA;Los Angeles;PROP00055;Active;09.06.2025;ServiceNow;;OK;OK;Henderson Mountain 121;OK;Los Angeles;MATCH;OK;0
Emily Rue 280, Liverpool;13400;-449353763;UK;Liverpool;PROP00056;Inactive;09.05.2023;ServiceNow;Imported from legacy system;OK;OK;Emily Rue 280;OK;Liverpool;MATCH;OK;0
Italy, Naples, Richard Junction 168;14823;-149280539;Italy;Naples;PROP00057;Active;31.08.2024;Salesforce;Pending validation;OK;OK;Richard Junction 168;OK;Naples;MATCH;OK;0
James Plain175, Munich, Germany;59301;-371993952;Germany;Munich;PROP00058;Active;17.07.2024;Salesforce;;OK;OK;James Plain175;OK;Munich;MATCH;OK;0
LondonRobert Harbors170, UK;61138;-257012310;UK;London;PROP00059;Inactive;11.04.2023;SAP;;OK;OK;LondonRobert Harbors170;OK;London;MATCH;OK;0
Brisbane, Nancy Club 162, Australia;58583;-461988088;Australia;Brisbane;PROP00060;Active;14.09.2023;Salesforce;;OK;OK;Nancy Club 162;OK;Brisbane;MATCH;OK;0
Italy, Milan;2435;-645237969;Italy;Milan;PROP00061;Active;20.07.2025;SAP;Imported from legacy system;OK;OK;Milan;OK;Milan;MATCH;OK;0
SpainSeville;31483;-775114182;Spain;Seville;PROP00062;Active;24.10.2023;Salesforce;;OK;OK;;MISSING;Seville;MATCH;ERROR;1
BrazilRio de JaneiroRichard Orchard104;28517;-116958611;Brazil;Rio de Janeiro;PROP00063;Inactive;16.01.2025;Planon;Check postal code;OK;OK;BrazilRio de JaneiroRichard Orchard104;OK;Rio de Janeiro;MATCH;OK;0
Barrera Expressway 8, Italy, Florence;50173;-823637409;Italy;Florence;PROP00064;Inactive;19.04.2025;ServiceNow;;OK;OK;Barrera Expressway 8;OK;Florence;MATCH;OK;0
Tricia Greens 134, UK, Liverpool;60139;-714942250;UK;Liverpool;PROP00065;Inactive;18.01.2023;MDG;Check postal code;OK;OK;Tricia Greens 134;OK;Liverpool;MATCH;OK;0
USAChicagoHenderson Street66;73346;-930348997;USA;Chicago;PROP00066;Active;21.08.2025;Planon;Verified;OK;OK;USAChicagoHenderson Street66;OK;Chicago;MATCH;OK;0
ItalyRome;29035;-179667333;Italy;Rome;PROP00067;Active;04.04.2023;Salesforce;Verified;OK;OK;;MISSING;Rome;MATCH;ERROR;1
Beth Plains244, Kyoto, Japan;8490;-822620388;Japan;Kyoto;PROP00068;Active;10.11.2023;ServiceNow;;OK;OK;Beth Plains244;OK;Kyoto;MATCH;OK;0
JapanKyoto;62994;-284307177;Japan;Kyoto;PROP00069;Active;21.02.2025;Salesforce;Pending validation;OK;OK;;MISSING;Kyoto;MATCH;ERROR;1
Brian Pass 14, Canada, Montreal;11001;-470241451;Canada;Montreal;PROP00070;Active;31.03.2024;MDG;Imported from legacy system;OK;OK;Brian Pass 14;OK;Montreal;MATCH;OK;0
AustraliaSydney;89002;-855570839;Australia;Sydney;PROP00071;Active;03.10.2024;ServiceNow;;OK;OK;;MISSING;Sydney;MATCH;ERROR;1
MunichRichard Port188, Germany;32772;-771894248;Germany;Munich;PROP00072;Active;23.08.2025;Salesforce;Needs review;OK;OK;MunichRichard Port188;OK;Munich;MATCH;OK;0
Cologne, Christine Manor 113, Germany;86664;-738348467;Germany;Cologne;PROP00073;Active;08.12.2022;MDG;Imported from legacy system;OK;OK;Christine Manor 113;OK;Cologne;MATCH;OK;0
Los Angeles, Donovan Ford 265, USA;88283;-284587151;USA;Los Angeles;PROP00074;Active;05.06.2024;Salesforce;Needs review;OK;OK;Donovan Ford 265;OK;Los Angeles;MATCH;OK;0
Allen Locks 62, Rome;17655;-983739963;Italy;Rome;PROP00075;Active;29.10.2024;Planon;;OK;OK;Allen Locks 62;OK;Rome;MATCH;OK;0
Bryant Terrace182, Munich, Germany;10009;-195206438;Germany;Munich;PROP00076;Inactive;22.08.2024;Salesforce;Verified;OK;OK;Bryant Terrace182;OK;Munich;MATCH;OK;0
Canada, Calgary, Stephen Port 133;13605;-149826636;Canada;Calgary;PROP00077;Inactive;06.07.2023;ServiceNow;Verified;OK;OK;Stephen Port 133;OK;Calgary;MATCH;OK;0
Spain, Barcelona;35261;-812005506;Spain;Barcelona;PROP00078;Active;22.07.2024;Salesforce;Pending validation;OK;OK;Barcelona;OK;Barcelona;MATCH;OK;0
Sarah Cliff288, Houston, USA;32519;-204097411;USA;Houston;PROP00079;Active;28.03.2025;ServiceNow;;OK;OK;Sarah Cliff288;OK;Houston;MATCH;OK;0
FranceBordeaux, France;71701;-821851016;France;Bordeaux;PROP00080;Active;13.02.2023;Salesforce;Needs review;OK;OK;France;OK;Bordeaux;MATCH;OK;0
Spain, Valencia;86218;-281357442;Spain;Valencia;PROP00081;Inactive;30.03.2024;Planon;;OK;OK;Valencia;OK;Valencia;MATCH;OK;0
Brazil, São Paulo;39741;-406195703;Brazil;São Paulo;PROP00082;Active;16.10.2025;SAP;Needs review;OK;OK;São Paulo;OK;São Paulo;MATCH;OK;0
Brazil, São Paulo;35165;-610390424;Brazil;São Paulo;PROP00083;Inactive;14.05.2025;SAP;;OK;OK;São Paulo;OK;São Paulo;MATCH;OK;0
USALos AngelesPamela Summit57;73013;-349046359;USA;Los Angeles;PROP00084;Inactive;02.03.2025;ServiceNow;Needs review;OK;OK;USALos AngelesPamela Summit57;OK;Los Angeles;MATCH;OK;0
France, Toulouse, Joseph Rapids 253;28108;-437953305;France;Toulouse;PROP00085;Inactive;13.12.2024;Salesforce;;OK;OK;Joseph Rapids 253;OK;Toulouse;MATCH;OK;0
Harris Roads19, Tokyo, Japan;35101;-753816451;Japan;Tokyo;PROP00086;Active;11.04.2023;ServiceNow;;OK;OK;Harris Roads19;OK;Tokyo;MATCH;OK;0
Australia, Sydney, King Vista 190;7159;-642643518;Australia;Sydney;PROP00087;Inactive;04.05.2025;SAP;Imported from legacy system;OK;OK;King Vista 190;OK;Sydney;MATCH;OK;0
Germany, Munich;36766;-875991917;Germany;Munich;PROP00088;Inactive;10.09.2024;SAP;Pending validation;OK;OK;Munich;OK;Munich;MATCH;OK;0
Japan, Kyoto;17647;-729230952;Japan;Kyoto;PROP00089;Active;11.08.2024;ServiceNow;Needs review;OK;OK;Kyoto;OK;Kyoto;MATCH;OK;0
CalgaryMartin Mills172, Canada;72810;-949812791;Canada;Calgary;PROP00090;Active;19.09.2024;ServiceNow;Verified;OK;OK;CalgaryMartin Mills172;OK;Calgary;MATCH;OK;0
Hoffman Creek 251, Rio de Janeiro;10363;-933316895;Brazil;Rio de Janeiro;PROP00091;Inactive;11.04.2023;Salesforce;Verified;OK;OK;Hoffman Creek 251;OK;Rio de Janeiro;MATCH;OK;0
FranceMarseille;48894;-668783877;France;Marseille;PROP00092;Active;26.04.2023;MDG;Check postal code;OK;OK;;MISSING;Marseille;MATCH;ERROR;1
Russell Canyon13, Leeds, UK;40905;-544053844;UK;Leeds;PROP00093;Active;10.09.2025;Planon;Check postal code;OK;OK;Russell Canyon13;OK;Leeds;MATCH;OK;0
BrazilBrasília, Brazil;5730;-128006342;Brazil;Brasília;PROP00094;Inactive;28.01.2023;MDG;Verified;OK;OK;Brazil;OK;Brasília;MATCH;OK;0
CanadaMontreal;87917;-444364910;Canada;Montreal;PROP00095;Inactive;14.01.2024;SAP;;OK;OK;;MISSING;Montreal;MATCH;ERROR;1
FranceLyonMichael Points219;53765;-254422894;France;Lyon;PROP00096;Inactive;31.07.2024;Planon;;OK;OK;FranceLyonMichael Points219;OK;Lyon;MATCH;OK;0
France, Paris;21800;-268374465;France;Paris;PROP00097;Inactive;06.04.2023;Salesforce;;OK;OK;Paris;OK;Paris;MATCH;OK;0
Nicole Burg 111, UK, Birmingham;24010;-401294650;UK;Birmingham;PROP00098;Active;14.01.2023;ServiceNow;Imported from legacy system;OK;OK;Nicole Burg 111;OK;Birmingham;MATCH;OK;0
Rio de JaneiroPatton Loop78, Brazil;88307;-104680982;Brazil;Rio de Janeiro;PROP00099;Active;04.06.2024;SAP;Pending validation;OK;OK;Rio de JaneiroPatton Loop78;OK;Rio de Janeiro;MATCH;OK;0
CanadaOttawa, Canada;92418;-516046516;Canada;Ottawa;PROP00100;Active;02.08.2025;Salesforce;;OK;OK;Canada;OK;Ottawa;MATCH;OK;0
Patrick Camp 280, Toronto;62195;-108692335;Canada;Toronto;PROP00101;Inactive;25.10.2023;MDG;;OK;OK;Patrick Camp 280;OK;Toronto;MATCH;OK;0
ItalyRome, Italy;46331;-670947307;Italy;Rome;PROP00102;Active;28.09.2023;Planon;;OK;OK;Italy;OK;Rome;MATCH;OK;0
Canada, Montreal, Hoover Well 14;30332;-716543746;Canada;Montreal;PROP00103;Active;16.10.2024;Salesforce;Needs review;OK;OK;Hoover Well 14;OK;Montreal;MATCH;OK;0
Andrew Fields 41, Cologne;52728;-915809882;Germany;Cologne;PROP00104;Active;16.05.2025;MDG;Verified;OK;OK;Andrew Fields 41;OK;Cologne;MATCH;OK;0
Ramirez Cliff214, Turin, Italy;37086;-128327087;Italy;Turin;PROP00105;Inactive;18.05.2025;Planon;;OK;OK;Ramirez Cliff214;OK;Turin;MATCH;OK;0
CanadaToronto, Canada;89566;-781682121;Canada;Toronto;PROP00106;Active;14.12.2023;ServiceNow;;OK;OK;Canada;OK;Toronto;MATCH;OK;0
Australia, Melbourne, Crosby Crescent 19;34738;-986705679;Australia;Melbourne;PROP00107;Inactive;02.05.2023;Planon;Check postal code;OK;OK;Crosby Crescent 19;OK;Melbourne;MATCH;OK;0
AustraliaPerth;5515;-712608541;Australia;Perth;PROP00108;Active;01.07.2023;ServiceNow;;OK;OK;;MISSING;Perth;MATCH;ERROR;1
JapanNagoya, Japan;95992;-699093764;Japan;Nagoya;PROP00109;Inactive;16.05.2024;SAP;Imported from legacy system;OK;OK;Japan;OK;Nagoya;MATCH;OK;0
Graham Pass109, Hamburg, Germany;15658;-951115511;Germany;Hamburg;PROP00110;Inactive;18.10.2025;Salesforce;;OK;OK;Graham Pass109;OK;Hamburg;MATCH;OK;0
UKLondon, UK;33887;-539878571;UK;London;PROP00111;Active;01.09.2023;Salesforce;Needs review;OK;OK;UK;OK;London;MATCH;OK;0
NagoyaJeanne Alley61, Japan;68647;-803661870;Japan;Nagoya;PROP00112;Active;31.01.2025;SAP;Verified;OK;OK;NagoyaJeanne Alley61;OK;Nagoya;MATCH;OK;0
FranceToulouse, France;87563;-196700492;France;Toulouse;PROP00113;Active;11.05.2025;MDG;;OK;OK;France;OK;Toulouse;MATCH;OK;0
Hanson Shore 281, Rome;16835;-745948199;Italy;Rome;PROP00114;Inactive;24.10.2025;ServiceNow;Check postal code;OK;OK;Hanson Shore 281;OK;Rome;MATCH;OK;0
JapanKyotoHunter Shores166;54029;-858743785;Japan;Kyoto;PROP00115;Active;21.03.2023;ServiceNow;Check postal code;OK;OK;JapanKyotoHunter Shores166;OK;Kyoto;MATCH;OK;0
Spain, Seville, Powell Hill 285;73168;-635524730;Spain;Seville;PROP00116;Active;30.12.2022;SAP;;OK;OK;Powell Hill 285;OK;Seville;MATCH;OK;0
USAPhoenix, USA;50196;-826883556;USA;Phoenix;PROP00117;Inactive;23.04.2024;SAP;Needs review;OK;OK;USA;OK;Phoenix;MATCH;OK;0
FrankfurtChristina Hollow154, Germany;53726;-456049174;Germany;Frankfurt;PROP00118;Inactive;06.12.2023;SAP;Needs review;OK;OK;FrankfurtChristina Hollow154;OK;Frankfurt;MATCH;OK;0
Los AngelesKevin Fords89, USA;56847;-647847546;USA;Los Angeles;PROP00119;Inactive;28.05.2025;Planon;;OK;OK;Los AngelesKevin Fords89;OK;Los Angeles;MATCH;OK;0
Italy, Turin;89056;-128497427;Italy;Turin;PROP00120;Inactive;06.08.2024;SAP;Pending validation;OK;OK;Turin;OK;Turin;MATCH;OK;0
UK, Birmingham, William Underpass 179;96964;-487423108;UK;Birmingham;PROP00121;Inactive;27.07.2023;SAP;;OK;OK;William Underpass 179;OK;Birmingham;MATCH;OK;0
AdelaideDonna Haven193, Australia;68062;-826650690;Australia;Adelaide;PROP00122;Active;18.03.2024;MDG;;OK;OK;AdelaideDonna Haven193;OK;Adelaide;MATCH;OK;0
CanadaToronto;31285;-116255499;Canada;Toronto;PROP00123;Active;19.10.2025;Salesforce;Pending validation;OK;OK;;MISSING;Toronto;MATCH;ERROR;1
CanadaCalgaryWalker Flat187;19814;-446650905;Canada;Calgary;PROP00124;Inactive;29.12.2024;Salesforce;Imported from legacy system;OK;OK;CanadaCalgaryWalker Flat187;OK;Calgary;MATCH;OK;0
Brandon Mountains103, Frankfurt, Germany;80621;-873739435;Germany;Frankfurt;PROP00125;Inactive;28.10.2023;ServiceNow;Needs review;OK;OK;Brandon Mountains103;OK;Frankfurt;MATCH;OK;0
Germany, Cologne;75955;-889502562;Germany;Cologne;PROP00126;Active;09.08.2023;SAP;;OK;OK;Cologne;OK;Cologne;MATCH;OK;0
Jennifer Lights 173, Spain, Madrid;65300;-498991683;Spain;Madrid;PROP00127;Active;08.03.2023;SAP;;OK;OK;Jennifer Lights 173;OK;Madrid;MATCH;OK;0
Madrid, Sanchez Shoal 29, Spain;90629;-703163689;Spain;Madrid;PROP00128;Inactive;26.11.2023;Planon;Imported from legacy system;OK;OK;Sanchez Shoal 29;OK;Madrid;MATCH;OK;0
Patricia Wall 102, Canada, Calgary;14471;-517588446;Canada;Calgary;PROP00129;Inactive;20.11.2025;MDG;;OK;OK;Patricia Wall 102;OK;Calgary;MATCH;OK;0
MilanRobinson Unions166, Italy;91715;-187213313;Italy;Milan;PROP00130;Active;17.04.2024;Salesforce;Needs review;OK;OK;MilanRobinson Unions166;OK;Milan;MATCH;OK;0
Williams Gateway29, Naples, Italy;16407;-121419385;Italy;Naples;PROP00131;Active;18.12.2023;MDG;Check postal code;OK;OK;Williams Gateway29;OK;Naples;MATCH;OK;0
USAChicagoAnderson Mountain52;88001;-132311603;USA;Chicago;PROP00132;Active;12.04.2024;Salesforce;;OK;OK;USAChicagoAnderson Mountain52;OK;Chicago;MATCH;OK;0
USAHoustonDodson Mills228;80802;-191495834;USA;Houston;PROP00133;Inactive;20.08.2025;Salesforce;Verified;OK;OK;USAHoustonDodson Mills228;OK;Houston;MATCH;OK;0
Canada, Ottawa;58947;-516397809;Canada;Ottawa;PROP00134;Inactive;29.09.2025;SAP;Imported from legacy system;OK;OK;Ottawa;OK;Ottawa;MATCH;OK;0
Spain, Seville, Julia Mountains 298;59492;-942083865;Spain;Seville;PROP00135;Active;08.02.2025;ServiceNow;;OK;OK;Julia Mountains 298;OK;Seville;MATCH;OK;0
SpainMadridWalton Ville241;84080;-852326518;Spain;Madrid;PROP00136;Active;25.03.2024;Salesforce;;OK;OK;SpainMadridWalton Ville241;OK;Madrid;MATCH;OK;0
Spain, Bilbao, Cannon Pike 266;64018;-366323106;Spain;Bilbao;PROP00137;Active;05.01.2023;Salesforce;;OK;OK;Cannon Pike 266;OK;Bilbao;MATCH;OK;0
FranceLyon, France;94026;-508787913;France;Lyon;PROP00138;Active;31.12.2024;Salesforce;;OK;OK;France;OK;Lyon;MATCH;OK;0
Young Isle 76, Naples;42405;-834932648;Italy;Naples;PROP00139;Inactive;23.10.2023;ServiceNow;;OK;OK;Young Isle 76;OK;Naples;MATCH;OK;0
Brazil, Salvador;50706;-482256992;Brazil;Salvador;PROP00140;Active;15.09.2024;SAP;Needs review;OK;OK;Salvador;OK;Salvador;MATCH;OK;0
Jasmine Circles 123, Brazil, Rio de Janeiro;54878;-934525008;Brazil;Rio de Janeiro;PROP00141;Inactive;21.11.2023;MDG;;OK;OK;Jasmine Circles 123;OK;Rio de Janeiro;MATCH;OK;0
AustraliaMelbourneRivera Mountain270;54997;-645793970;Australia;Melbourne;PROP00142;Inactive;15.06.2024;SAP;Imported from legacy system;OK;OK;AustraliaMelbourneRivera Mountain270;OK;Melbourne;MATCH;OK;0
Jamie Manor 135, UK, Liverpool;51550;-108169550;UK;Liverpool;PROP00143;Active;13.01.2024;Salesforce;;OK;OK;Jamie Manor 135;OK;Liverpool;MATCH;OK;0
USANew York, USA;75957;-200858132;USA;New York;PROP00144;Active;27.03.2023;Salesforce;;OK;OK;USA;OK;New York;MATCH;OK;0
Woods Knoll 289, Manchester;39640;-332793454;UK;Manchester;PROP00145;Active;05.10.2025;SAP;Verified;OK;OK;Woods Knoll 289;OK;Manchester;MATCH;OK;0
Brazil, Fortaleza, Castaneda Village 261;55422;-587754627;Brazil;Fortaleza;PROP00146;Inactive;12.07.2024;MDG;Check postal code;OK;OK;Castaneda Village 261;OK;Fortaleza;MATCH;OK;0
Tracy Groves 81, Australia, Sydney;57626;-502213712;Australia;Sydney;PROP00147;Active;02.05.2024;Salesforce;Verified;OK;OK;Tracy Groves 81;OK;Sydney;MATCH;OK;0
JapanTokyoJohnson Junction110;88171;-581304024;Japan;Tokyo;PROP00148;Inactive;29.10.2025;Salesforce;Imported from legacy system;OK;OK;JapanTokyoJohnson Junction110;OK;Tokyo;MATCH;OK;0
Ramsey Ville 254, Manchester;61762;-163122160;UK;Manchester;PROP00149;Inactive;19.09.2023;SAP;;OK;OK;Ramsey Ville 254;OK;Manchester;MATCH;OK;0
FranceBordeaux, France;4035;-707354504;France;Bordeaux;PROP00150;Active;24.03.2024;SAP;;OK;OK;France;OK;Bordeaux;MATCH;OK;0
UKLondon, UK;4053;-108286638;UK;London;PROP00151;Inactive;23.10.2023;ServiceNow;Check postal code;OK;OK;UK;OK;London;MATCH;OK;0
